time,i_mod_avg,i_mod_rms,u_bat
352.0,19.66647,19.66647,3.7523854636971126
353.0,19.66647,19.66647,3.7522725032770388
354.0,19.66647,19.66647,3.7521601397595856
355.0,19.66647,19.66647,3.7520486055574946
356.0,19.66647,19.66647,3.7519381143199686
357.0,19.66647,19.66647,3.7518288609326684
358.0,19.66647,19.66647,3.7517210215177172
359.0,19.66647,19.66647,3.7516147534336963
360.0,19.66647,19.66647,3.751510195275647
361.0,19.66647,19.66647,3.7514074668750688
362.0,19.66647,19.66647,3.7513066692999226
363.0,19.66647,19.66647,3.7512078848546295
364.0,19.66647,19.66647,3.7511111770800656
365.0,19.66647,19.66647,3.7510165907535713
366.0,19.66647,19.66647,3.7509241518889467
367.0,19.66647,19.66647,3.7508338677364463
368.0,19.66647,19.66647,3.75074572678279
369.0,19.66647,19.66647,3.7506596987511553
370.0,19.66647,19.66647,3.750575734601177
371.0,19.66647,19.66647,3.7504937665289533
372.0,19.66647,19.66647,3.7504137079670374
373.0,19.66647,19.66647,3.7503354535844475
374.0,19.66647,19.66647,3.750258879286657
375.0,19.66647,19.66647,3.7501838422156015
376.0,19.66647,19.66647,3.7501101807496733
377.0,19.66647,19.66647,3.7500377145037267
378.0,19.66647,19.66647,3.7499662443290767
379.0,19.66647,19.66647,3.7498955523134945
380.0,19.66647,19.66647,3.7498254017812123
381.0,19.66647,19.66647,3.749755537292922
382.0,19.66647,19.66647,3.749685684645776
383.0,19.66647,19.66647,3.749615550873386
384.0,19.66647,19.66647,3.74954482424582
385.0,19.66647,19.66647,3.7494731742696117
386.0,19.66647,19.66647,3.749400251687747
387.0,19.66647,19.66647,3.7493256884796784
388.0,19.66647,19.66647,3.749249097861313
389.0,19.66647,19.66647,3.7491700742850207
390.0,19.66647,19.66647,3.7490881934396274
391.0,19.66647,19.66647,3.7490030122504234
392.0,19.66647,19.66647,3.7489140688791553
393.0,19.66647,19.66647,3.7488208827240284
394.0,19.66647,19.66647,3.7487229544197107
395.0,19.66647,19.66647,3.748619765837326
396.0,19.66647,19.66647,3.748511046010449
397.0,19.66647,19.66647,3.748398337481279
398.0,19.66647,19.66647,3.748282471871213
399.0,19.66647,19.66647,3.7481640156085474
400.0,19.66647,19.66647,3.7480435082347863
401.0,19.66647,19.66647,3.7479214624046415
402.0,19.66647,19.66647,3.7477983638860355
403.0,19.66647,19.66647,3.7476746715600977
404.0,19.66647,19.66647,3.74755081742117
405.0,19.66647,19.66647,3.747427206576795
406.0,19.66647,19.66647,3.7473042172477324
407.0,19.66647,19.66647,3.7471822007679445
408.0,19.66647,19.66647,3.747061481584608
409.0,19.66647,19.66647,3.7469423572581
410.0,19.66647,19.66647,3.7468250984620157
411.0,19.66647,19.66647,3.7467099489831517
412.0,19.66647,19.66647,3.7465971257215154
413.0,19.66647,19.66647,3.7464868186903266
414.0,19.66647,19.66647,3.746379191016006
415.0,19.66647,19.66647,3.746274378938189
416.0,19.66647,19.66647,3.746172491809718
417.0,19.66647,19.66647,3.7460736120966445
418.0,19.66647,19.66647,3.745977795378226
419.0,19.66647,19.66647,3.7458850703469326
420.0,19.66647,19.66647,3.7457954388084396
421.0,19.66647,19.66647,3.745708875681633
422.0,19.66647,19.66647,3.745625328998607
423.0,19.66647,19.66647,3.745544719904665
424.0,19.66647,19.66647,3.745466942658315
425.0,19.66647,19.66647,3.745391864631279
426.0,19.66647,19.66647,3.7453193263084854
427.0,19.66647,19.66647,3.745249141288072
428.0,19.66647,19.66647,3.7451810962813834
429.0,19.66647,19.66647,3.7451149511129724
430.0,19.66647,19.66647,3.7450504387206056
431.0,19.66647,19.66647,3.7449872651552507
432.0,19.66647,19.66647,3.7449251095810903
433.0,19.66647,19.66647,3.744863624275511
434.0,19.66647,19.66647,3.744802434629111
435.0,19.66647,19.66647,3.7447411391456975
436.0,19.66647,19.66647,3.744679309442284
437.0,19.66647,19.66647,3.7446164902490944
438.0,19.66647,19.66647,3.74455219940956
439.0,19.66647,19.66647,3.744485927880321
440.0,19.66647,19.66647,3.7444171397312256
441.0,19.66647,19.66647,3.744345272145333
442.0,19.66647,19.66647,3.7442697354189094
443.0,19.66647,19.66647,3.74418991296143
444.0,19.66647,19.66647,3.7441051612955754
445.0,19.66647,19.66647,3.744014810057242
446.0,19.66647,19.66647,3.743918161995528
447.0,19.66647,19.66647,3.743814492972742
448.0,19.66647,19.66647,3.7437030519644043
449.0,19.66647,19.66647,3.743584946935948
450.0,19.66647,19.66647,3.7434635078860374
451.0,19.66647,19.66647,3.7433394214693854
452.0,19.66647,19.66647,3.7432132875961006
453.0,19.66647,19.66647,3.7430856744875127
454.0,19.66647,19.66647,3.7429571186761628
455.0,19.66647,19.66647,3.7428281250058104
456.0,19.66647,19.66647,3.74269916663143
457.0,19.66647,19.66647,3.742570685019209
458.0,19.66647,19.66647,3.742443089946558
459.0,19.66647,19.66647,3.742316759502096
460.0,19.66647,19.66647,3.7421920400856603
461.0,19.66647,19.66647,3.7420692464083056
462.0,19.66647,19.66647,3.7419486614923008
463.0,19.66647,19.66647,3.741830536671128
464.0,19.66647,19.66647,3.741715091589493
465.0,19.66647,19.66647,3.7416025142033087
466.0,19.66647,19.66647,3.74149296077971
467.0,19.66647,19.66647,3.7413865558970425
468.0,19.66647,19.66647,3.7412833924448714
469.0,19.66647,19.66647,3.7411835316239754
470.0,19.66647,19.66647,3.741087002946353
471.0,19.66647,19.66647,3.740993804235214
472.0,19.66647,19.66647,3.740903901624984
473.0,19.66647,19.66647,3.740817229561307
474.0,19.66647,19.66647,3.740733690801042
